Day Number,Date,New York,California
1,3/13/2020,137,247
2,3/14/2020,185,335
3,3/15/2020,269,392
4,3/16/2020,464,472
5,3/17/2020,923,598
6,3/18/2020,"2,009",675
7,3/19/2020,"3,954",1006
8,3/20/2020,"5,683",1224
9,3/21/2020,"8,115",1468
10,3/22/2020,"10,764",1733
11,3/23/2020,"13,119",2102
12,3/24/2020,"15,597",2535
13,3/25/2020,"20,011",3006
14,3/26/2020,"23,112",3801
15,3/27/2020,"26,697",4643
16,3/28/2020,"30,765",5763
17,3/29/2020,"33,474",6932
18,3/30/2020,"38,087",8155
